,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
26634,Capital Group EM Growth (LUX) P EUR,52.8.LU1951436176EUR,-1.58,1.42,-2.31,,13.58,0.02,False,,-2.02,0.95
26635,Capital Group EM Growth (LUX) P GBP,52.8.LU1951436259GBP,-1.44,1.09,-2.37,,13.45,0.01,False,,-2.02,0.95
26636,Capital Group EM Growth (LUX) Pd,52.8.LU1862461446,-1.83,2.07,-2.28,,13.8,0.02,False,,-2.02,0.95
26637,Capital Group EM Growth (LUX) Pd GBP,52.8.LU1998017914GBP,-1.45,1.07,-2.38,,13.45,0.01,False,,-2.02,0.95
26638,Capital Group EM Growth (LUX) Z,52.8.LU0891452871,-1.97,1.89,-2.45,4.81,13.79,0.0,True,3.82,-2.2,0.95
26639,Capital Group EM Growth (LUX) Z CHF,52.8.LU0891453259CHF,-1.86,1.61,-2.44,4.8,13.66,0.0,True,3.82,-2.2,0.95
26640,Capital Group EM Growth (LUX) Z EUR,52.8.LU0891452954EUR,-1.72,1.24,-2.48,4.82,13.58,0.0,True,3.81,-2.2,0.95
26641,Capital Group EM Growth (LUX) Z GBP,52.8.LU0891453176GBP,-1.58,0.92,-2.54,4.81,13.45,0.0,True,3.81,-2.2,0.95
26642,Capital Group EM Growth (LUX) Zd,52.8.LU0891453333,-1.97,1.89,-2.45,4.81,13.79,0.0,True,3.82,-2.2,0.95
26643,Capital Group EM Growth (LUX) Zd EUR,52.8.LU0891453416EUR,-1.74,1.23,-2.48,4.81,13.58,0.0,False,3.82,-2.2,0.95
26644,Capital Group EM Growth (LUX) Zd GBP,52.8.LU0891453507GBP,-1.6,0.9,-2.55,4.81,13.44,-0.01,False,3.81,-2.2,0.95
26645,Capital Group EM Growth (LUX) ZL,52.8.LU2099028933,-1.77,2.15,-2.2,,13.79,0.02,False,,-1.94,0.95
26646,Capital Group EM Growth (LUX) ZL CHF,52.8.LU2099029667CHF,-1.66,1.87,-2.19,,13.66,0.02,False,,-1.94,0.95
26647,Capital Group EM Growth (LUX) ZL EUR,52.8.LU2099823317EUR,-1.53,1.5,-2.23,,13.58,0.02,False,,-1.94,0.95
26648,Capital Group EM Growth (LUX) ZL GBP,52.8.LU2099823408GBP,-1.38,1.17,-2.29,,13.45,0.01,False,,-1.94,0.95
26649,Capital Group EM Growth (LUX) ZLd,52.8.LU2099029154,-1.77,2.15,-2.2,,13.8,0.02,False,,-1.94,0.95
26650,Capital Group EM Growth (LUX) ZLd EUR,52.8.LU2099823580EUR,-3.14,-0.16,-2.77,,13.26,-0.02,False,,-1.94,0.95
26651,Capital Group EM Growth (LUX) ZLd GBP,52.8.LU2099029402GBP,-3.0,-0.5,-2.84,,13.11,-0.03,False,,-1.94,0.95
26652,Capital Group New World (LUX) B,52.8.LU1481180195,3.24,1.4,1.49,6.27,12.97,0.3,False,5.45,1.46,0.85
26653,Capital Group New World (LUX) B EUR,52.8.LU1481179858EUR,3.18,1.73,1.43,6.21,12.86,0.31,False,,1.46,0.85
26654,Capital Group New World (LUX) B SGD,52.8.LU1481182993SGD,3.19,1.82,1.48,6.24,12.82,0.31,False,,1.46,0.85
26655,Capital Group New World (LUX) P,52.8.LU2299087408,4.1,2.46,,,,,False,,,
26656,Capital Group New World (LUX) P EUR,52.8.LU2524020802EUR,4.09,2.79,,,,,False,,,
26657,Capital Group New World (LUX) Z,52.8.LU1481181599,3.94,2.24,2.36,7.18,12.96,0.37,True,6.45,2.34,0.85
26658,Capital Group New World (LUX) Z CHF,52.8.LU1481180948CHF,3.88,2.9,2.43,7.15,13.06,0.37,False,,2.34,0.85
26659,Capital Group New World (LUX) Z EUR,52.8.LU1481181086EUR,3.99,2.68,2.35,7.15,12.91,0.38,False,,2.34,0.85
26660,Capital Group New World (LUX) Z GBP,,4.25,3.26,2.3,7.16,12.93,0.37,False,,2.34,0.85
26661,Capital Group New World (LUX) Z JPY,52.8.LU1481181243JPY,4.37,3.79,2.36,7.1,12.96,0.38,False,,2.34,0.85
26662,Capital Group New World (LUX) Z SGD,52.8.LU1481181326SGD,3.96,2.79,2.37,7.17,12.87,0.38,False,,2.34,0.85
26663,Capital Group New World (LUX) Zd,52.8.LU1481182134,3.91,2.26,2.37,7.18,12.97,0.37,False,6.45,2.33,0.85
26664,Capital Group New World (LUX) Zd CHF,52.8.LU1481181672CHF,2.98,1.99,2.11,6.95,12.97,0.34,False,,2.33,0.85
26665,Capital Group New World (LUX) Zd GBP,52.8.LU1481181839GBP,3.24,2.36,1.98,6.94,12.8,0.35,False,,2.33,0.85
26666,Capital Group New World (LUX) Zgd,52.8.LU1481182720,4.0,2.3,2.38,7.21,12.99,0.37,False,6.46,2.32,0.85
26667,Capital Group New World (LUX) ZL,52.8.LU2099831849,4.17,2.52,2.63,,13.0,0.39,False,,2.58,0.85
26668,Capital Group New World (LUX) ZL CHF,52.8.LU2099832490CHF,4.04,3.15,2.67,,13.04,0.38,False,,2.58,0.85
26669,Capital Group New World (LUX) ZL EUR,52.8.LU2099832144EUR,4.16,2.86,2.6,,12.93,0.4,False,,2.58,0.85
26670,Capital Group New World (LUX) ZL GBP,52.8.LU2099832060GBP,4.39,3.48,2.52,,12.94,0.39,False,,2.58,0.85
26671,Capital Group New World (LUX) ZLd,52.8.LU2099831682,4.17,2.59,2.63,,12.96,0.39,False,,2.6,0.85
26672,Capital Group New World (LUX) ZLd CHF,52.8.LU2099832227CHF,2.94,2.05,2.29,,12.92,0.36,False,,2.6,0.85
26673,Capital Group New World (LUX) ZLd GBP,52.8.LU2099831765GBP,3.29,2.4,2.18,,12.79,0.36,False,,2.6,0.85
26674,Capital Group New World (LUX) ZLgd,52.8.LU2105109826,4.18,2.52,2.64,,12.99,0.39,False,,2.59,0.85
26675,Carmignac Emergents A EUR Acc,52.8.FR0010149302,3.66,6.11,-2.47,7.69,17.28,0.05,False,4.46,-0.78,1.13
26676,Carmignac Emergents A EUR Ydis,52.8.FR0011269349,3.66,6.11,-2.57,7.62,17.22,0.05,False,4.33,-0.9,1.12
26677,Carmignac Emergents E EUR Acc,52.8.FR0011147446,3.14,5.43,-3.39,6.96,17.24,0.01,False,3.73,-1.64,1.12
26678,Carmignac Pf Emergents A EUR Acc,52.8.LU1299303229,3.49,6.46,-2.44,7.73,17.2,0.05,True,4.47,-0.78,1.13
26679,Carmignac Pf Emergents F EUR Acc,52.8.LU0992626480,3.93,6.91,-1.78,8.39,17.26,0.09,True,4.87,-0.08,1.13
26680,Catalana Occidente Emergentes FI,52.8.ES0116882004,-5.17,-2.21,-3.41,0.67,11.76,-0.06,False,,-3.03,0.9
26681,CM-AM Global Emerging Markets ER,52.8.FR0013226883,-6.59,-8.49,-10.88,-1.95,15.49,-0.54,False,,-10.27,1.05
26682,CM-AM Global Emerging Markets IC,52.8.FR0012432540,-5.84,-7.58,-9.98,-0.96,15.5,-0.48,False,,-9.28,1.05
26683,CM-AM Global Emerging Markets RC,52.8.FR0000984213,-6.58,-8.49,-10.77,-1.68,15.51,-0.53,False,-0.68,-10.14,1.05
26684,CM-AM Global Emerging Markets S,52.8.FR0013465598,-5.92,-7.67,-10.07,,15.5,-0.49,False,,-9.38,1.05
26685,Comgest Growth Emerging Mkts EUR Inc,52.8.IE00B240WN62,-3.4,0.19,-8.89,-3.25,14.6,-0.4,False,0.98,-7.75,1.03
26686,Comgest Growth Emerging Mkts EUR Fxd Inc,52.8.IE00BGPZCJ40,-3.46,0.12,-8.91,,14.59,-0.4,False,,-7.76,1.03
26687,Comgest Growth Emerging Mkts EUR I Acc,52.8.IE00B4VRKF23,-3.04,0.62,-8.47,-2.78,14.62,-0.37,True,1.47,-7.28,1.03
26688,Comgest Growth Emerging Mkts EUR I Inc,52.8.IE00BQ1YBQ50,-3.04,0.66,-8.46,-2.78,14.63,-0.37,False,,-7.27,1.03
26689,Comgest Growth Emerging Mkts EUR IFxdInc,52.8.IE00BK5X4451,-3.09,0.6,-8.47,,14.62,-0.37,False,,-7.26,1.03
26690,Comgest Growth Emerging Mkts EUR R Acc,52.8.IE00B65D2871,-3.79,-0.28,-9.34,-3.71,14.61,-0.43,True,0.5,-8.23,1.03
26691,Comgest Growth Emerging Mkts EUR Y Acc,,-9.28,-23.57,,,,,False,,,
26692,Comgest Growth Emerging Mkts EUR Z Acc,52.8.IE00BD5HXC97,-3.1,0.61,-8.51,-2.83,14.62,-0.37,True,1.07,-7.31,1.03
26693,Comgest Growth Emerging Mkts EUR Z Inc,52.8.IE00BDZQR247,-3.08,0.61,-8.5,-2.82,14.61,-0.37,True,1.07,-7.32,1.03
26694,Comgest Growth EM ex China I EUR Acc,52.8.IE000N08Y7B0,,,,,,,False,,,
26695,Comgest Growth EM ex China I USD Acc,52.8.IE00BF29DW24,-0.58,-0.16,-0.58,,16.36,0.23,False,,1.52,0.95
26696,Comgest Growth Emerging Mkts GBP U Acc,52.8.IE00B40MC740,-3.03,0.65,-8.47,-2.79,14.64,-0.37,True,1.47,-7.27,1.03
26697,Comgest Growth Emerging Mkts GBP Z Acc,52.8.IE00BYYLP894,-3.03,0.65,-8.46,-2.77,14.61,-0.37,True,1.09,-7.27,1.03
26698,Comgest Growth Emerging Mkts USD Acc,52.8.IE0033535182,-3.42,0.2,-8.9,-3.25,14.36,-0.41,False,0.98,-7.82,1.02
26699,Comgest Growth Emerging Mkts USD Inc,52.8.IE00B11XZH66,-3.42,0.17,-8.88,-3.23,14.37,-0.41,False,0.99,-7.8,1.02
26700,Comgest Growth Emerging Mkts USD I Acc,52.8.IE00B52QBB85,-3.03,0.65,-8.46,-2.77,14.38,-0.38,True,1.47,-7.34,1.02
26701,Comgest Growth Emerging Mkts USD R Acc,52.8.IE00BZ0X9S42,-3.78,-0.29,-9.34,-3.71,14.37,-0.44,True,0.49,-8.3,1.02
26702,Comgest Growth Emerging Mkts USD X Acc,52.8.IE00BYYLP902,-2.29,1.64,-7.58,-1.83,14.4,-0.31,False,,-6.38,1.02
26703,Comgest Growth Emerging Mkts USD Z Acc,52.8.IE00BDZQR353,-3.1,0.61,-8.52,-2.83,14.37,-0.38,True,1.27,-7.4,1.02
26704,Comgest Growth Emerging Mkts USD Z Inc,52.8.IE00BDZQR460,-3.1,0.6,-8.51,-2.82,14.39,-0.38,True,1.05,-7.39,1.02
26705,CPR Invest GEAR Emerging A EUR Acc,52.8.LU1811398467,0.0,0.79,-4.61,0.76,14.06,-0.17,True,3.6,-4.47,1.0
26706,CSIF (Lux) Equity Emerging Mkts DB EUR,52.8.LU0828707843,-1.55,0.25,-1.19,2.98,13.79,0.15,False,3.83,-0.12,1.0
26707,CSIF (Lux) Equity Emerging Mkts DB USD,52.8.LU0828707504,-1.55,0.25,-1.19,2.99,13.79,0.15,False,,-0.12,1.0
26708,CSIF (Lux) Equity EmMkts ESG Blue DA EUR,52.8.LU1587907772,-3.7,0.59,-4.35,,15.23,-0.06,False,,-2.89,1.04
26709,CSIF (Lux) Equity EmMkts ESG Blue DB CHF,52.8.LU1587908150,-3.7,0.59,-4.35,2.71,15.23,-0.06,False,,-2.89,1.04
26710,CSIF (Lux) Equity EmMkts ESG Blue DB EUR,52.8.LU1587908077,-3.7,0.58,-4.35,2.71,15.23,-0.06,False,,-2.89,1.04
26711,CSIF (Lux) Equity EmMkts ESG Blue DB USD,52.8.LU1587907855,-3.7,0.59,-4.35,2.71,15.23,-0.06,False,,-2.89,1.04
26712,CSIF (Lux) Equity EmMkts ESG Blue FB CHF,52.8.LU1599189559,-3.87,0.37,-4.54,2.51,15.23,-0.07,False,,-3.09,1.04
26713,CSIF (Lux) Equity EmMkts ESG Blue FB EUR,52.8.LU1599186456,-3.86,0.38,-4.53,2.51,15.23,-0.07,False,,-3.08,1.04
26714,CSIF (Lux) Equity EmMkts ESG Blue FB USD,52.8.LU1587908820,-3.86,0.38,-4.54,2.51,15.23,-0.07,False,,-3.09,1.04
26715,CSIF (Lux) Equity EmMkts ESG Blue IB EUR,,-24.49,-26.0,,,,,False,,,
26716,CSIF (Lux) Equity EmMkts ESG Blue QA USD,52.8.LU2152320003,-3.82,0.43,-4.49,,15.23,-0.07,False,,-3.04,1.04
26717,CSIF (Lux) Equity EmMkts ESG Blue QAXUSD,52.8.LU2049551828,-3.74,0.54,,,,,False,,,
26718,CSIF (Lux) Equity EmMkts ESG Blue QB EUR,52.8.LU1587918209,-3.82,0.43,-4.49,2.56,15.23,-0.07,False,,-3.04,1.04
26719,CSIF (Lux) Equity EmMkts ESG Blue QB USD,52.8.LU1587917813,-3.82,0.43,-4.49,2.56,15.23,-0.07,False,,-3.04,1.04
26720,CSIF (Lux) Equity EmMkts ESG Blue QBXEUR,52.8.LU2064529196,-3.74,0.53,,,,,False,,,
26721,CSIF (Lux) Equity EmMkts ESG Blue QBXUSD,52.8.LU2064528974,-3.74,0.54,-4.4,,15.23,-0.06,False,,-2.94,1.04
26722,CSIF (Lux) Equity EmMkts ESG Blue WB CHF,52.8.LU2243004418,1.3,-2.08,,,,,False,,,
26723,CSIF (Lux) Equity EmMkts ESG Blue WB EUR,,-8.47,-11.57,,,,,False,,,
26724,CSIF (Lux) Equity EmMkts ESG Blue WBXCHF,52.8.LU2300204265,-3.88,0.39,,,,,False,,,
26725,CSIF (Lux) Equity EmMkts ESG Blue WBXUSD,52.8.LU2060607277,-3.88,0.39,-4.44,,15.4,-0.06,False,,-3.0,1.04
26726,CSIF (Lux) Equity Emerging Mkts FB EUR,52.8.LU1419776015,-1.71,0.05,-1.38,2.78,13.79,0.13,False,,-0.32,1.0
26727,CSIF (Lux) Equity Emerging Mkts FB USD,52.8.LU1419775983,-1.72,0.05,-1.38,2.78,13.78,0.13,False,,-0.32,1.0
26728,CSIF (Lux) Eq EM Min Vol ESG Blue DB CHF,,0.68,-8.04,5.38,1.73,10.27,0.47,False,,0.89,0.72
26729,CSIF (Lux) Eq EM Min Vol ESG Blue FB EUR,,0.61,-8.26,5.13,1.48,10.27,0.44,False,,0.58,0.72
26730,CSIF (Lux) Eq EM Min Vol ESG Blue FB USD,,0.61,-8.26,5.13,1.48,10.3,0.42,False,,0.32,0.72
26731,CSIF (Lux) Eq EM Min Vol ESG Blue QB EUR,,0.63,-8.21,5.18,1.53,10.27,0.45,False,,0.63,0.72
26732,CSIF (Lux) Eq EM Min Vol ESG Blue QBXUSD,,4.15,-6.19,,,,,False,,,
26733,abrdnI-Emerg Mrkt Smaller Comp A Acc GBP,52.8.LU0278932362,8.06,7.95,8.0,7.98,14.34,0.75,False,3.62,0.32,0.98
26734,abrdnI-Emerg Mrkt Smaller Comp A Acc USD,52.8.LU0278937759,7.99,8.06,7.92,7.97,14.47,0.77,False,3.61,0.72,0.98
26735,abrdnI-Emerg Mrkt Smaller Comp I Acc USD,52.8.LU0278915607,8.7,8.93,8.78,8.83,14.48,0.83,False,4.43,1.51,0.98
26736,abrdnI-Emerg Mrkt Smaller Comp X Acc EUR,52.8.LU0837974871,8.62,8.09,8.63,8.67,14.43,0.81,False,4.24,1.19,0.99
26737,abrdnI-Emerg Mrkt Smaller Comp X Acc USD,52.8.LU0837974525,8.53,8.72,8.57,8.63,14.48,0.81,True,4.23,1.32,0.98
26738,Carmignac Pf Emerg Discv A EUR Acc,52.8.LU0336083810,3.91,-0.56,2.3,2.8,12.87,0.43,False,3.67,-3.37,0.69
26739,Carmignac Pf Emerg Discv F EUR Acc,52.8.LU0992629740,4.76,0.45,3.22,3.71,12.87,0.5,True,4.57,-2.47,0.69
26740,Evli Emerging Frontier A,52.8.FI4000066907,5.42,6.99,17.15,12.75,13.83,1.43,False,9.85,10.6,0.76
26741,Evli Emerging Frontier B,52.8.FI4000066915,5.42,6.99,17.15,12.75,13.83,1.43,False,9.85,10.6,0.76
26742,Evli Emerging Frontier IB2,52.8.FI4000546486,6.18,7.77,17.43,12.91,13.83,1.45,True,9.93,10.82,0.76
26743,Federated Hermes GEMs SMID Eq F EUR Acc,,-4.65,-3.64,,,,,False,,,
26744,Federated Hermes GEMs SMID Eq F USD Acc,52.8.IE00BFZNVB63,-4.72,-3.04,-1.98,2.7,14.1,0.11,False,,-8.85,0.99
26745,Federated Hermes GEMs SMID Eq X EUR Acc,52.8.IE00BFZNVG19,-4.22,-3.09,-1.4,3.31,13.95,0.14,False,,-8.45,1.0
26746,Federated Hermes GEMs SMID Eq X USD Acc,52.8.IE00BFZNV944,-4.3,-2.51,-1.44,3.27,14.1,0.15,False,,-8.3,0.99
26747,Federated Hermes GEMs SMID Eq X2 USD Dis,52.8.IE00BG0D0L19,-4.29,-2.51,-1.44,3.27,14.1,0.15,False,,-8.3,0.99
26748,JPM Em Mkts Small Cap A (acc) perf EUR,52.8.LU0318933057,-2.26,2.57,2.57,5.41,11.4,0.44,False,6.61,-4.69,0.89
26749,JPM Em Mkts Small Cap A (acc) perf USD,52.8.LU0318931358,-2.27,2.79,2.62,5.46,11.66,0.43,False,6.63,-4.73,0.89
26750,JPM Em Mkts Small Cap A (dist) perf GBP,52.8.LU0318932836,-2.0,2.74,2.62,5.41,11.47,0.42,False,6.58,-4.95,0.89
26751,JPM Em Mkts Small Cap A (dist) perf USD,52.8.LU0318932752,-2.29,2.76,2.59,5.45,11.64,0.43,False,,-4.76,0.89
26752,JPM Em Mkts Small Cap C (acc) perf EUR,52.8.LU0474315818,-1.65,3.32,3.36,6.18,11.43,0.5,False,7.34,-3.97,0.89
26753,JPM Em Mkts Small Cap C (acc) perf USD,52.8.LU0318933214,-1.67,3.55,3.36,6.19,11.63,0.49,False,7.36,-4.03,0.89
26754,JPM Em Mkts Small Cap C (dist) perf GBP,52.8.LU0822042882,-1.38,3.56,3.41,6.19,11.47,0.49,False,,-4.18,0.89
26755,JPM Em Mkts Small Cap D (acc) perf EUR,52.8.LU0318933487,-3.06,1.52,1.54,4.4,11.41,0.35,False,5.61,-5.72,0.88
26756,JPM Em Mkts Small Cap D (acc) perf USD,52.8.LU0318933305,-3.11,1.67,1.56,4.42,11.64,0.34,False,5.64,-5.75,0.89
26757,JPM Em Mkts Small Cap I (acc) perf USD,52.8.LU0318933560,-1.65,3.58,3.42,6.26,11.65,0.5,False,7.35,-3.98,0.89
26758,JPM Em Mkts Small Cap I (inc) USD,52.8.LU1760116027,-1.64,3.58,3.42,6.27,11.65,0.5,False,,-3.98,0.89
26759,Mobius Emerging Markets Priv C EUR Fdr,52.8.LU1851963725,5.92,13.56,7.3,5.46,16.51,0.63,False,,-0.26,1.02
26760,Mobius Emerging Markets Priv C USD Fdr,52.8.LU1846740923,6.47,14.71,7.68,5.63,16.73,0.64,False,,0.03,1.01
26761,Mobius Emerging Markets Retl D EUR,52.8.LU1846739917,4.94,12.27,6.22,,16.5,0.57,False,,-1.28,1.02
26762,Polen Capital Em Mkts Sm Com Gr BUSDAcc,52.8.IE00BQ713V97,3.42,0.79,6.34,3.19,11.37,0.71,False,,-1.23,0.78
26763,Polen Capital Em Mkts Sm Com Gr F USD,52.8.IE00BZ126W31,3.93,1.4,6.97,3.82,11.38,0.76,False,,-0.64,0.78
26764,RBC Funds (Lux) Em Mkts Sm Cp Eq A USD,52.8.LU1217269551,6.18,4.95,5.4,1.23,12.32,0.63,False,,-1.83,0.82
26765,RBC Funds (Lux) Em Mkts Sm Cp Eq B USD,,8.45,13.85,0.32,3.82,18.2,,False,,-4.08,0.84
26766,RBC Funds (Lux) Em Mkts Sm Cp Eq O USD,52.8.LU1217269809,7.18,6.19,6.61,2.43,12.33,0.73,False,,-0.69,0.82
26767,River & Mercantile EM Opp ILC Eq EB USD,,7.15,40.81,4.34,8.06,18.21,,False,,-0.11,0.89
26768,River & Mercantile EM Opp ILC Eq IB USD,,5.9,5.8,2.22,4.46,9.78,,False,,-2.36,0.91
26769,River & Mercantile EM Opp ILC Eq UB USD,,6.92,40.27,4.09,7.79,18.2,,False,,-0.36,0.89
26770,Schroder ISF Glbl EM Smlr Coms A Acc USD,52.8.LU1098400762,0.73,0.65,6.98,7.37,12.99,0.76,False,,-0.22,0.92
26771,Schroder ISF Glbl EM Smlr Coms B Acc USD,52.8.LU1098400846,0.24,0.05,6.36,6.76,12.98,0.71,False,,-0.8,0.92
26772,Schroder ISF Glbl EM Smlr Coms C Acc EUR,52.8.LU1469676396,1.02,0.63,7.57,7.95,12.58,0.82,False,,0.23,0.92
26773,Schroder ISF Glbl EM Smlr Coms C Acc USD,52.8.LU1098400929,1.18,1.21,7.57,7.96,12.99,0.8,False,,0.33,0.92
26774,Schroder ISF Glbl EM Smlr Coms IZ AccUSD,52.8.LU2016217122,1.43,1.51,7.87,,13.0,0.82,False,,0.6,0.92
26775,State Street EM Sm Cp ESG Scrn Eq I USD,52.8.LU1259992631,16.93,17.67,15.02,10.64,13.67,1.18,False,,5.79,0.96
26776,Templeton Em Mkts Smlr Coms A(acc)EUR,52.8.LU0300743431,0.72,3.05,8.28,5.0,13.18,0.82,False,6.45,0.76,0.95
26777,Templeton Em Mkts Smlr Coms A(acc)USD,52.8.LU0300738514,0.8,2.69,8.32,5.05,13.4,0.81,False,6.5,0.76,0.94
26778,Templeton Em Mkts Smlr Coms A(Ydis)GBP,52.8.LU0300746616,0.95,3.61,8.21,5.01,13.1,0.82,False,6.45,0.69,0.94
26779,Templeton Em Mkts Smlr Coms A(Ydis)USD,52.8.LU0300738605,0.74,2.74,8.31,5.06,13.4,0.81,False,6.49,0.74,0.94
26780,Templeton Em Mkts Smlr Coms I(acc)EUR,52.8.LU0300743605,1.57,4.1,9.44,6.14,13.19,0.9,False,7.6,1.84,0.95
26781,Templeton Em Mkts Smlr Coms I(acc)USD,52.8.LU0300738944,1.7,3.83,9.5,6.18,13.38,0.89,False,7.63,1.83,0.94
26782,Templeton Em Mkts Smlr Coms N(acc)USD,52.8.LU0300739322,0.4,2.18,7.79,4.52,13.35,0.78,False,5.96,0.28,0.94
26783,Templeton Em Mkts Smlr Coms W(acc)EUR,52.8.LU1742671891,1.64,4.15,9.38,6.07,13.21,0.9,True,7.09,1.8,0.95
26784,Templeton Em Mkts Smlr Coms W(acc)GBP,52.8.LU0768361320,1.82,4.69,9.31,6.06,13.15,0.89,True,7.46,1.68,0.94
26785,Templeton Em Mkts Smlr Coms W(acc)USD,52.8.LU0976565761,1.62,3.76,9.42,6.12,13.4,0.88,True,7.51,1.75,0.94
26786,William Blair EM Small Cap Grwth D USD C,52.8.LU0874276412,10.14,43.57,,,,,False,,,
26787,William Blair EM Small Cap Grwth I USD C,52.8.LU0874276255,4.52,,,,17.73,,False,,,
26788,William Blair EM Small Cap Grwth J USD C,52.8.LU1397782274,4.95,-5.92,4.53,8.74,13.0,0.56,False,,-1.97,0.73
26789,William Blair EM Small Cap Grwth R USD C,52.8.LU1664183214,4.98,-5.91,4.45,,12.95,0.55,False,,-2.04,0.73
26790,East Capital Global Frontier Mkts A EUR,52.8.LU1125674454,10.94,10.45,11.44,6.16,12.93,1.04,False,,8.2,1.05
26791,HSBC GIF Frontier Markets AC,52.8.LU0666199749,14.99,11.18,21.34,11.4,12.08,1.76,True,8.45,15.88,0.88
26792,HSBC GIF Frontier Markets ACEUR,52.8.LU0708055370,12.64,6.7,20.5,11.03,12.25,1.75,False,7.93,16.15,0.85
26793,HSBC GIF Frontier Markets EC,52.8.LU0735544974,14.52,10.63,20.73,10.84,12.07,1.72,False,7.91,15.38,0.88
26794,HSBC GIF Frontier Markets ECEUR,52.8.LU0708055453,12.18,6.16,19.9,10.48,12.24,1.71,False,7.39,15.64,0.85
26795,HSBC GIF Frontier Markets IC,52.8.LU0666200349,15.56,11.84,22.07,12.07,12.09,1.81,True,9.1,16.49,0.88
26796,HSBC GIF Frontier Markets ICEUR,52.8.LU0708055537,13.19,7.34,21.22,11.7,12.26,1.8,False,8.58,16.76,0.86
26797,Magna New Frontiers D Dist,52.8.IE00BNCB5M86,12.83,9.01,19.7,9.89,14.58,1.54,False,,17.22,1.15
26798,Magna New Frontiers D Dist USD,52.8.IE00BNG8TT04USD,11.45,5.12,17.09,7.26,14.43,1.41,False,,17.22,1.15
26799,Magna New Frontiers G Acc,52.8.IE00BFTW8Z27,13.4,9.72,20.46,10.62,14.56,1.59,False,,17.88,1.15
26800,Magna New Frontiers G Acc GBP,52.8.IE00BKRCMJ13GBP,13.4,9.72,20.38,10.62,14.46,1.59,True,,17.88,1.15
26801,Magna New Frontiers G Acc USD,52.8.IE00BKRCMK28USD,13.41,9.73,20.37,10.6,14.42,1.6,False,,17.88,1.15
26802,Magna New Frontiers N Acc,52.8.IE00B65LCL41,13.9,10.29,20.69,10.67,14.55,1.6,False,11.19,18.04,1.15
26803,Magna New Frontiers N Acc GBP,52.8.IE00B3N9N839GBP,13.91,10.3,20.6,10.67,14.45,1.61,False,11.2,18.04,1.15
26804,Magna New Frontiers N Acc USD,52.8.IE00B3LGFL36USD,13.91,10.29,20.6,10.65,14.41,1.61,False,11.2,18.04,1.15
26805,Magna New Frontiers R Acc,52.8.IE00B68FF474,12.69,8.82,19.63,9.77,14.62,1.53,False,10.52,17.18,1.15
26806,Magna New Frontiers R Acc GBP,52.8.IE00B62YPS47GBP,12.69,8.82,19.55,9.77,14.53,1.54,False,10.52,17.18,1.15
26807,Magna New Frontiers R Acc USD,52.8.IE00B670FC16USD,12.69,8.82,19.54,9.75,14.48,1.55,False,10.52,17.18,1.15
26808,Magna New Frontiers S Inc,52.8.IE00BZ4TP024,13.38,9.67,20.35,10.57,14.54,1.58,False,,17.78,1.15
26809,Magna New Frontiers S Inc GBP,52.8.IE00BZ4TPJ17GBP,13.38,9.68,20.26,10.57,14.45,1.59,False,,17.78,1.15
26810,Magna New Frontiers S Inc USD,52.8.IE00BZ4TQB06USD,13.39,9.67,20.25,10.55,14.41,1.6,False,,17.78,1.15
26811,Redwheel Next Gen Em Mkts Eq JA EUR Acc,52.8.LU2168044571,10.53,12.04,30.1,,16.6,1.98,False,,27.89,1.13
26812,Redwheel Next Gen Em Mkts Eq JA USD Acc,52.8.LU2128486979,10.77,12.25,30.21,,17.02,1.93,False,,27.92,1.13
26813,Redwheel Next Gen Em Mkts Eq JR EUR Acc,52.8.LU2128486896,10.86,12.46,30.62,,16.61,2.0,False,,28.3,1.13
26814,Redwheel Next Gen Em Mkts Eq JR GBP Inc,52.8.LU2128486540,11.28,12.87,30.66,,16.45,2.0,False,,27.91,1.12
26815,Redwheel Next Gen Em Mkts Eq JR USD Acc,52.8.LU2128486623,11.15,12.71,30.74,,17.02,1.96,False,,28.33,1.13
26816,Redwheel Next Gen Em Mkts Eq S EUR Acc,52.8.LU1965310250,10.59,,,,,,False,,,
26817,Schroder ISF Frntr Mkts Eq A Acc EUR,52.8.LU2407913743,13.46,12.14,,,,,False,,,
26818,Schroder ISF Frntr Mkts Eq A Acc NOK,52.8.LU0994294535,13.39,12.08,15.72,8.86,11.58,1.47,False,,11.68,0.95
26819,Schroder ISF Frntr Mkts Eq A Acc SEK,52.8.LU0994293560,13.34,12.05,15.68,8.88,11.37,1.52,True,6.88,11.9,0.93
26820,Schroder ISF Frntr Mkts Eq A Acc SGD,52.8.LU2407914121,13.65,12.61,,,,,False,,,
26821,Schroder ISF Frntr Mkts Eq A Acc USD,52.8.LU0562313402,13.65,12.78,15.64,8.9,12.03,1.46,False,6.94,12.19,0.97
26822,Schroder ISF Frntr Mkts Eq A Dis AV,52.8.LU1046231319,13.65,12.79,15.63,8.89,12.04,1.46,False,,12.18,0.97
26823,Schroder ISF Frntr Mkts Eq A1 Acc EUR,52.8.LU2407913826,12.99,11.58,,,,,False,,,
26824,Schroder ISF Frntr Mkts Eq A1 Acc USD,52.8.LU0562314046,13.19,12.22,15.09,8.37,12.02,1.42,False,6.43,11.71,0.97
